path,language,extension,physical_lines,blank_lines,comment_lines,code_lines,category
archive/diagnostics/discovery_handshake_probe.py,Python,.py,186,25,4,157,legacy/archived
archive/diagnostics/serial_monitor_test.py,Python,.py,286,31,1,254,legacy/archived
archive/diagnostics/serial_pipeline_tester.py,Python,.py,100,19,0,81,legacy/archived
archive/diagnostics/temp_serial_port_info.py,Python,.py,13,1,0,12,legacy/archived
archive/diagnostics/tmp_serial_dtr_test.py,Python,.py,46,5,2,39,legacy/archived
archive/diagnostics/tmp_serial_handler_probe.py,Python,.py,50,6,1,43,legacy/archived
archive/diagnostics/tmp_serial_probe.py,Python,.py,20,1,0,19,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/main_qt.py,Python,.py,35,11,8,16,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/main_window.py,Python,.py,128,24,5,99,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/attendance_page.py,Python,.py,63,11,13,39,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/dashboard_page.py,Python,.py,56,14,40,2,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/logs_page.py,Python,.py,27,6,6,15,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/reports_page.py,Python,.py,38,8,29,1,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/settings_page.py,Python,.py,65,13,4,48,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/students_page.py,Python,.py,61,12,4,45,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/widgets/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/widgets/sidebar.py,Python,.py,45,11,1,33,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/widgets/stat_card.py,Python,.py,27,7,0,20,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/workers/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/workers/serial_worker.py,Python,.py,95,18,24,53,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/main_qt.py,Python,.py,35,11,8,16,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/main_window.py,Python,.py,182,31,16,135,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/pages/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/pages/attendance_page.py,Python,.py,88,14,13,61,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/pages/dashboard_page.py,Python,.py,57,14,40,3,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/pages/logs_page.py,Python,.py,38,8,29,1,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/pages/reports_page.py,Python,.py,106,20,3,83,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/pages/settings_page.py,Python,.py,167,30,79,58,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/pages/students_page.py,Python,.py,301,40,169,92,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/widgets/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/widgets/sidebar.py,Python,.py,45,11,1,33,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/widgets/stat_card.py,Python,.py,27,7,0,20,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/workers/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/workers/serial_worker.py,Python,.py,152,28,66,58,legacy/archived
archive/legacy-ui/testing_area/core/database_addition_snippet.py,Python,.py,33,1,32,0,legacy/archived
archive/legacy-ui/testing_area/gui/legacy/app_test.py,Python,.py,9,4,1,4,legacy/archived
archive/legacy-ui/testing_area/gui/legacy/app_test1.py,Python,.py,1826,234,543,1049,legacy/archived
archive/legacy-ui/testing_area/gui/legacy/bfeas_app.py,Python,.py,256,45,17,194,legacy/archived
archive/legacy-ui/testing_area/gui/legacy/bfeas_app2.py,Python,.py,499,85,380,34,legacy/archived
archive/legacy-ui/testing_area/gui/legacy/reports_table_page.py,Python,.py,396,70,37,289,legacy/archived
archive/legacy-ui/testing_area/services/backup.py,Python,.py,32,5,20,7,legacy/archived
archive/legacy-ui/testing_area/services/excel_export.py,Python,.py,128,25,90,13,legacy/archived
audit/generate_metrics.py,Python,.py,341,23,1,317,active
build_exe.bat,Shell,.bat,21,3,1,17,active
firmware/attendance/attendance.ino,Arduino/C++,.ino,114,17,40,57,active
firmware/delete/delete.ino,Arduino/C++,.ino,105,13,24,68,legacy/archived
firmware/enroll/enroll.ino,Arduino/C++,.ino,213,23,16,174,active
firmware/ESP32_Fingerprint_AllInOne/ESP32_Fingerprint_AllInOne.ino,Arduino/C++,.ino,803,92,90,621,active
firmware/test/fingerprint_check/fingerprint_check.ino,Arduino/C++,.ino,263,32,26,205,active
install_requirements.bat,Shell,.bat,28,3,0,25,active
list_files.bat,Shell,.bat,17,5,4,8,active
python/__init__.py,Python,.py,1,0,1,0,active
python/config.py,Python,.py,238,35,131,72,active
python/core/__init__.py,Python,.py,9,2,7,0,active
